;Reduction factor on stress to correspond with utilisation factor η for B1 and B2 curves in seawater with cathodic protection;;;;;;;
Utilisation\Weibull;0.5;0.6;0.7;0.8;0.9;1;1.1;1.2
0.1;0.497;0.511;0.526;0.54;0.552;0.563;0.573;0.582
0.2;0.609;0.62;0.632;0.642;0.652;0.661;0.67;0.677
0.22;0.627;0.638;0.648;0.659;0.668;0.677;0.685;0.692
0.27;0.661;0.676;0.686;0.695;0.703;0.711;0.719;0.725
0.3;0.688;0.697;0.706;0.715;0.723;0.73;0.737;0.743
0.33;0.708;0.717;0.725;0.733;0.741;0.748;0.754;0.76
0.4;0.751;0.758;0.765;0.772;0.779;0.785;0.79;0.795
0.5;0.805;0.81;0.816;0.821;0.826;0.831;0.835;0.839
0.6;0.852;0.856;0.86;0.864;0.868;0.871;0.875;0.878
0.67;0.882;0.885;0.888;0.891;0.894;0.897;0.9;0.902
0.7;0.894;0.897;0.9;0.902;0.905;0.908;0.91;0.912
0.8;0.932;0.934;0.936;0.938;0.939;0.941;0.942;0.944
1;1;1;1;1;1;1;1;1
