;Allowable extreme stress range in MPa during 10^8 cycles for components in air;;;;;;;
S-N \ Weibull Shape (h);0.5;0.6;0.7;0.8;0.9;1;1.1;1.2
B1;1449.3;1092.2;861.2;704.7;594.1;512.9;451.4;403.6
B2;1268.1;955.7;753.6;616.6;519.7;448.7;394.9;353.1
C;1319.3;919.6;688.1;542.8;445.5;377.2;326.9;289
C1;1182;824;616.5;486.2;399.2;337.8;292.9;258.9
C2;1055.3;735.6;550.3;434.1;356.3;301.6;261.5;231.1
D;949.9;662.1;495.4;390.7;320.8;271.5;235.4;208.1
T;949.9;662.1;495.4;390.7;320.8;271.5;235.4;208.1
E;843.9;588.3;440.2;347.2;284.9;241.2;209.2;184.9
F;749.2;522.3;390.8;308.2;253;214.1;185.6;164.1
F1;664.8;463.4;346.7;273.5;224.5;190;164.7;145.6
F3;591.1;412;308.3;243.2;199.6;169;146.5;129.4
G;527.6;367.8;275.2;217.1;178.2;150.8;130.8;115.6
W1;475;331;247.8;195.4;160.4;135.8;117.7;104
W2;422.1;294.1;220.1;173.6;142.5;120.6;104.6;92.5
W3;379.9;264.8;198.2;156;128.2;108.6;94.2;83.2
