;Allowable extreme stress range in MPa during 10^8 cycles for components in seawater with cathodic protection;;;;;;;
S-N \ Weibull Shape (h);0.5;0.6;0.7;0.8;0.9;1;1.1;1.2
B1;1309.8;996;793;655.2;557.4;485.3;430.5;387.6
B2;1146;871.5;693.9;573.3;487.7;424.7;376.6;339.1
C;1038.5;745.5;573.6;464.3;389.8;336.7;297;266.5
C1;930.5;668;513.9;415.8;349.3;301.5;266.1;238.7
C2;830.7;596.3;458.7;371.3;311.7;269.2;237.6;213.1
D;747.8;536.7;413;334.2;280.7;242.4;213.9;191.9
T;747.8;536.7;413;334.2;280.7;242.4;213.9;191.9
E;664.3;476.9;367;297;249.3;215.3;190.1;170.5
F;589.8;423.4;325.8;263.6;221.4;191.1;168.6;151.3
F1;523.3;375.7;289;233.9;196.4;169.6;149.6;134.3
F3;465.3;334;257;208;174.6;150.9;133.1;119.3
G;415.3;298.2;229.4;185.7;155.9;134.6;118.8;106.6
W1;373.9;268.3;206.6;167.1;140.3;121.2;106.9;95.9
W2;332.3;238.4;183.5;148.5;124.7;107.7;95;85.3
W3;299.1;214.7;165.2;133.4;112.2;96.9;85.6;76.7
